group (likely analyzer),histogram
Other / uncategorized,RecoilDQM/trk_ecal_loc0-sp_hit_X
Other / uncategorized,RecoilDQM/trk_ecal_loc1
Other / uncategorized,RecoilDQM/trk_ecal_loc1-sp_hit_Y
Other / uncategorized,RecoilDQM/trk_target_loc0
Other / uncategorized,RecoilDQM/trk_target_loc0-sp_hit_X
Other / uncategorized,RecoilDQM/trk_target_loc1
Other / uncategorized,RecoilDQM/trk_target_loc1-sp_hit_Y
Other / uncategorized,RecoilDQM/truth_LayersHit
Other / uncategorized,RecoilDQM/truth_N_tracks
Other / uncategorized,RecoilDQM/truth_PID
Other / uncategorized,RecoilDQM/truth_beam_angle
Other / uncategorized,RecoilDQM/truth_d0
Other / uncategorized,RecoilDQM/truth_electron_p
Other / uncategorized,RecoilDQM/truth_kminus_p
Other / uncategorized,RecoilDQM/truth_kplus_p
Other / uncategorized,RecoilDQM/truth_nHits
Other / uncategorized,RecoilDQM/truth_p
Other / uncategorized,RecoilDQM/truth_phi
Other / uncategorized,RecoilDQM/truth_piminus_p
Other / uncategorized,RecoilDQM/truth_piplus_p
Other / uncategorized,RecoilDQM/truth_positron_p
Other / uncategorized,RecoilDQM/truth_proton_p
Other / uncategorized,RecoilDQM/truth_qop
Other / uncategorized,RecoilDQM/truth_theta
Other / uncategorized,RecoilDQM/truth_z0
Other / uncategorized,RecoilDQM/z0
Other / uncategorized,RecoilDQM/z0_err
Other / uncategorized,RecoilDQM/z0_err_vs_p
Other / uncategorized,RecoilGASDQM
Other / uncategorized,RecoilGASDQM/Chi2
Other / uncategorized,RecoilGASDQM/Chi2_per_ndf
Other / uncategorized,RecoilGASDQM/LayersHit
Other / uncategorized,RecoilGASDQM/N_tracks
Other / uncategorized,RecoilGASDQM/d0
Other / uncategorized,RecoilGASDQM/d0_err
Other / uncategorized,RecoilGASDQM/d0_err_vs_p
Other / uncategorized,RecoilGASDQM/dup_Chi2
Other / uncategorized,RecoilGASDQM/dup_Chi2_per_ndf
Other / uncategorized,RecoilGASDQM/dup_LayersHit
Other / uncategorized,RecoilGASDQM/dup_d0
Other / uncategorized,RecoilGASDQM/dup_nHits
Other / uncategorized,RecoilGASDQM/dup_nHoles
Other / uncategorized,RecoilGASDQM/dup_nShared
Other / uncategorized,RecoilGASDQM/dup_p
Other / uncategorized,RecoilGASDQM/dup_phi
Other / uncategorized,RecoilGASDQM/dup_qop
Other / uncategorized,RecoilGASDQM/dup_theta
Other / uncategorized,RecoilGASDQM/dup_z0
Other / uncategorized,RecoilGASDQM/ecal_Pulls_of_loc0
Other / uncategorized,RecoilGASDQM/ecal_Pulls_of_loc1
Other / uncategorized,RecoilGASDQM/ecal_pulls_loc0-vs-N_hits
Other / uncategorized,RecoilGASDQM/ecal_pulls_loc0-vs-trk_p
Other / uncategorized,RecoilGASDQM/ecal_pulls_loc1-vs-N_hits
Other / uncategorized,RecoilGASDQM/ecal_pulls_loc1-vs-trk_p
Other / uncategorized,RecoilGASDQM/ecal_res_loc0-vs-N_hits
